Date,Open,High,Low,Close,Adj Close,Volume
3/4/2022,164.490005,165.550003,162.100006,163.169998,162.43515,83737200
3/7/2022,163.360001,165.020004,159.039993,159.300003,158.582581,96418800
3/8/2022,158.820007,162.880005,155.800003,157.440002,156.730957,131148300
3/9/2022,161.479996,163.410004,159.410004,162.949997,162.216141,91454900
3/10/2022,160.199997,160.389999,155.979996,158.520004,157.806107,105342000
3/11/2022,158.929993,159.279999,154.5,154.729996,154.033157,96970100
3/14/2022,151.449997,154.119995,150.100006,150.619995,149.941666,108732100
3/15/2022,150.899994,155.570007,150.380005,155.089996,154.391541,92964300
3/16/2022,157.050003,160,154.460007,159.589996,158.871262,102300200
3/17/2022,158.610001,161,157.630005,160.619995,159.896637,75615400
3/18/2022,160.509995,164.479996,159.759995,163.979996,163.241501,123511700
3/21/2022,163.509995,166.350006,163.009995,165.380005,164.635193,95811400
3/22/2022,165.509995,169.419998,164.910004,168.820007,168.059723,81532000
3/23/2022,167.990005,172.639999,167.649994,170.210007,169.443451,98062700
3/24/2022,171.059998,174.139999,170.210007,174.070007,173.286057,90131400
3/25/2022,173.880005,175.279999,172.75,174.720001,173.933136,80546200
3/28/2022,172.169998,175.729996,172,175.600006,174.809189,90371900
3/29/2022,176.690002,179.009995,176.339996,178.960007,178.154037,100589400
3/30/2022,178.550003,179.610001,176.699997,177.770004,176.969406,92633200
3/31/2022,177.839996,178.029999,174.399994,174.610001,173.823639,103049300
4/1/2022,174.029999,174.880005,171.940002,174.309998,173.524963,78751300
4/4/2022,174.570007,178.490005,174.440002,178.440002,177.636383,76468400
4/5/2022,177.5,178.300003,174.419998,175.059998,174.271591,73401800
4/6/2022,172.360001,173.630005,170.130005,171.830002,171.056152,89058800
4/7/2022,171.160004,173.360001,169.850006,172.139999,171.364746,77594700
4/8/2022,171.779999,171.779999,169.199997,170.089996,169.32399,76575500
4/11/2022,168.710007,169.029999,165.5,165.75,165.003525,72246700
4/12/2022,168.020004,169.869995,166.639999,167.660004,166.904938,79265200
4/13/2022,167.389999,171.039993,166.770004,170.399994,169.632584,70618900
4/14/2022,170.619995,171.270004,165.039993,165.289993,164.545593,75329400
4/18/2022,163.919998,166.600006,163.570007,165.070007,164.326599,69023900
4/19/2022,165.020004,167.820007,163.910004,167.399994,166.646088,67723800
4/20/2022,168.759995,168.880005,166.100006,167.229996,166.476868,67929800
4/21/2022,168.910004,171.529999,165.910004,166.419998,165.670517,87227800
4/22/2022,166.460007,167.869995,161.5,161.789993,161.06134,84882400
4/25/2022,161.119995,163.169998,158.460007,162.880005,162.146454,96046400
4/26/2022,162.25,162.339996,156.720001,156.800003,156.093842,95623200
4/27/2022,155.910004,159.789993,155.380005,156.570007,155.864883,88063200
4/28/2022,159.25,164.520004,158.929993,163.639999,162.90303,130216800
4/29/2022,161.839996,166.199997,157.25,157.649994,156.940002,131747600
5/2/2022,156.710007,158.229996,153.270004,157.960007,157.248627,123055300
5/3/2022,158.149994,160.710007,156.320007,159.479996,158.761765,88966500
5/4/2022,159.669998,166.479996,159.259995,166.020004,165.272324,108256500
5/5/2022,163.850006,164.080002,154.949997,156.770004,156.063995,130525300
5/6/2022,156.009995,159.440002,154.179993,157.279999,156.801712,116124600
5/9/2022,154.929993,155.830002,151.490005,152.059998,151.597595,131577900
5/10/2022,155.520004,156.740005,152.929993,154.509995,154.040131,115366700
5/11/2022,153.5,155.449997,145.809998,146.5,146.054504,142689800
5/12/2022,142.770004,146.199997,138.800003,142.559998,142.12648,182602000
5/13/2022,144.589996,148.100006,143.110001,147.110001,146.662659,113990900
5/16/2022,145.550003,147.520004,144.179993,145.539993,145.097427,86643800
5/17/2022,148.860001,149.770004,146.679993,149.240005,148.786179,78336300
5/18/2022,146.850006,147.360001,139.899994,140.820007,140.391785,109742900
5/19/2022,139.880005,141.660004,136.600006,137.350006,136.932327,136095600
5/20/2022,139.089996,140.699997,132.610001,137.589996,137.171585,137426100
5/23/2022,137.789993,143.259995,137.649994,143.110001,142.674805,117726300
5/24/2022,140.809998,141.970001,137.330002,140.360001,139.933167,104132700
5/25/2022,138.429993,141.789993,138.339996,140.520004,140.092697,92482700
5/26/2022,137.389999,144.339996,137.139999,143.779999,143.342758,90601500
5/27/2022,145.389999,149.679993,145.259995,149.639999,149.184952,90978500
5/31/2022,149.070007,150.660004,146.839996,148.839996,148.38739,103718400
6/1/2022,149.899994,151.740005,147.679993,148.710007,148.257782,74286600
6/2/2022,147.830002,151.270004,146.860001,151.210007,150.750183,72348100
6/3/2022,146.899994,147.970001,144.460007,145.380005,144.937912,88570300
6/6/2022,147.029999,148.570007,144.899994,146.139999,145.695602,71598400
6/7/2022,144.350006,149,144.100006,148.710007,148.257782,67808200
6/8/2022,148.580002,149.869995,147.460007,147.960007,147.510071,53950200
6/9/2022,147.080002,147.949997,142.529999,142.639999,142.206238,69473000
6/10/2022,140.279999,140.759995,137.059998,137.130005,136.712997,91437900
6/13/2022,132.869995,135.199997,131.440002,131.880005,131.478958,122207100
6/14/2022,133.130005,133.889999,131.479996,132.759995,132.356277,84784300
6/15/2022,134.289993,137.339996,132.160004,135.429993,135.018158,91533000
6/16/2022,132.080002,132.389999,129.039993,130.059998,129.66449,108123900
6/17/2022,130.070007,133.080002,129.809998,131.559998,131.159927,134520300
6/21/2022,133.419998,137.059998,133.320007,135.869995,135.456833,81000500
6/22/2022,134.789993,137.759995,133.910004,135.350006,134.938416,73409200
6/23/2022,136.820007,138.589996,135.630005,138.270004,137.849533,72433800
6/24/2022,139.899994,141.910004,139.770004,141.660004,141.229218,89116800
6/27/2022,142.699997,143.490005,140.970001,141.660004,141.229218,70207900
6/28/2022,142.130005,143.419998,137.320007,137.440002,137.022064,67083400
6/29/2022,137.460007,140.669998,136.669998,139.229996,138.80661,66242400
6/30/2022,137.25,138.369995,133.770004,136.720001,136.304245,98964500
7/1/2022,136.039993,139.039993,135.660004,138.929993,138.507507,71051600
7/5/2022,137.770004,141.610001,136.929993,141.559998,141.129517,73353800
7/6/2022,141.350006,144.119995,141.080002,142.919998,142.485397,74064300
7/7/2022,143.289993,146.550003,143.279999,146.350006,145.904968,66253700
7/8/2022,145.259995,147.550003,145,147.039993,146.59285,64547800
7/11/2022,145.669998,146.639999,143.779999,144.869995,144.429443,63141600
7/12/2022,145.759995,148.449997,145.050003,145.860001,145.416443,77588800
7/13/2022,142.990005,146.449997,142.119995,145.490005,145.047577,71185600
7/14/2022,144.080002,148.949997,143.25,148.470001,148.018509,78140700
7/15/2022,149.779999,150.860001,148.199997,150.169998,149.713348,76259900
7/18/2022,150.740005,151.570007,146.699997,147.070007,146.622772,81420900
7/19/2022,147.919998,151.229996,146.910004,151,150.540817,82982400
7/20/2022,151.119995,153.720001,150.369995,153.039993,152.574615,64823400
7/21/2022,154.5,155.570007,151.940002,155.350006,154.877594,65086600
7/22/2022,155.389999,156.279999,153.410004,154.089996,153.621414,66675400
7/25/2022,154.009995,155.039993,152.279999,152.949997,152.484894,53623900
7/26/2022,152.259995,153.089996,150.800003,151.600006,151.139008,55138700
7/27/2022,152.580002,157.330002,152.160004,156.789993,156.313202,78620700
7/28/2022,156.979996,157.639999,154.410004,157.350006,156.871521,81378700
7/29/2022,161.240005,163.630005,159.5,162.509995,162.015808,101786900
8/1/2022,161.009995,163.589996,160.889999,161.509995,161.01886,67829400
8/2/2022,160.100006,162.410004,159.630005,160.009995,159.523407,59907000
8/3/2022,160.839996,166.589996,160.75,166.130005,165.624817,82507500
8/4/2022,166.009995,167.190002,164.429993,165.809998,165.305786,55474100
8/5/2022,163.210007,165.850006,163,165.350006,165.076172,56697000
8/8/2022,166.369995,167.809998,164.199997,164.869995,164.596954,60276900
8/9/2022,164.020004,165.820007,163.25,164.919998,164.646866,63135500
8/10/2022,167.679993,169.339996,166.899994,169.240005,168.959732,70170500
8/11/2022,170.059998,170.990005,168.190002,168.490005,168.210968,57149200
8/12/2022,169.820007,172.169998,169.399994,172.100006,171.814987,68039400
8/15/2022,171.520004,173.389999,171.350006,173.190002,172.903183,54091700
8/16/2022,172.779999,173.710007,171.660004,173.029999,172.743439,56377100
8/17/2022,172.770004,176.149994,172.570007,174.550003,174.260925,79542000
8/18/2022,173.75,174.899994,173.119995,174.149994,173.861588,62290100
8/19/2022,173.029999,173.740005,171.309998,171.520004,171.235947,70346300
8/22/2022,169.690002,169.860001,167.139999,167.570007,167.292496,69026800
8/23/2022,167.080002,168.710007,166.649994,167.229996,166.953049,54147100
8/24/2022,167.320007,168.110001,166.25,167.529999,167.252548,53841500
8/25/2022,168.779999,170.139999,168.350006,170.029999,169.748413,51218200
8/26/2022,170.570007,171.050003,163.559998,163.619995,163.349014,78961000
8/29/2022,161.149994,162.899994,159.820007,161.380005,161.112747,73314000
8/30/2022,162.130005,162.559998,157.720001,158.910004,158.646835,77906200
8/31/2022,160.309998,160.580002,157.139999,157.220001,156.959625,87991100
9/1/2022,156.639999,158.419998,154.669998,157.960007,157.69841,74229900
9/2/2022,159.75,160.360001,154.970001,155.809998,155.551956,76905200
9/6/2022,156.470001,157.089996,153.690002,154.529999,154.274078,73714800
9/7/2022,154.820007,156.669998,153.610001,155.960007,155.701721,87449600
9/8/2022,154.639999,156.360001,152.679993,154.460007,154.204208,84923800
9/9/2022,155.470001,157.820007,154.75,157.369995,157.109375,68028800
9/12/2022,159.589996,164.259995,159.300003,163.429993,163.159332,104956000
9/13/2022,159.899994,160.539993,153.369995,153.839996,153.58522,122656600
